amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,allocated,14/01139/S106/6,14/01139/S106/6/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-6-T1
,allocated,14/01139/S106/7,14/01139/S106/7/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-7-T1
,received,14/01139/S106/9,14/01139/S106/9/T1,2019-05-01,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-9-T1
,allocated,14/01139/S106/9,14/01139/S106/9/T2,,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-9-T2
,allocated,14/01721/S106/10,14/01721/S106/10/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-10-T1
,allocated,14/01721/S106/11,14/01721/S106/11/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-11-T1
,spent,14/01721/S106/11,14/01721/S106/11/T2,,2020-12-10,local-authority-eng:NTY,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-11-T2
,allocated,14/01721/S106/2,14/01721/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-2-T1
,allocated,14/01721/S106/3,14/01721/S106/3/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-3-T1
,allocated,14/01721/S106/4,14/01721/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-4-T1
,allocated,14/01721/S106/5,14/01721/S106/5/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-5-T1
,allocated,14/01721/S106/7,14/01721/S106/7/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-7-T1
,allocated,14/01721/S106/8,14/01721/S106/8/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01721-S106-8-T1
,allocated,14/01744/S106/1,14/01744/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01744-S106-1-T1
,allocated,14/01744/S106/2,14/01744/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01744-S106-2-T1
,allocated,14/01904/S106/2,14/01904/S106/2/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01904-S106-2-T1
,received,14/01904/S106/2,14/01904/S106/2/T2,2019-05-01,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01904-S106-2-T2
,allocated,14/01904/S106/2,14/01904/S106/2/T3,,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01904-S106-2-T3
,spent,14/01904/S106/2,14/01904/S106/2/T4,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01904-S106-2-T4
,received,14/01905/S106/1,14/01905/S106/1/T1,2019-12-01,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-1-T1
,allocated,14/01905/S106/1,14/01905/S106/1/T2,,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-1-T2
,received,14/01905/S106/2,14/01905/S106/2/T1,2019-12-01,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-2-T1
,allocated,14/01905/S106/2,14/01905/S106/2/T2,,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-2-T2
,received,14/01905/S106/3,14/01905/S106/3/T1,2019-12-01,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-3-T1
,allocated,14/01905/S106/3,14/01905/S106/3/T2,,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-3-T2
,received,14/01905/S106/4,14/01905/S106/4/T1,2019-12-01,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-4-T1
,allocated,14/01905/S106/4,14/01905/S106/4/T2,,2020-12-11,local-authority-eng:NTY,2019-12-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01905-S106-4-T2
,received,14/01941/S106/1,14/01941/S106/1/T1,,2020-12-11,local-authority-eng:NTY,2020-01-01,37,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-1-T1
,allocated,14/01941/S106/10,14/01941/S106/10/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-10-T1
,allocated,14/01941/S106/11,14/01941/S106/11/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-11-T1
,received,14/01941/S106/11,14/01941/S106/11/T2,2019-06-01,2020-12-11,local-authority-eng:NTY,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-11-T2
,allocated,14/01941/S106/11,14/01941/S106/11/T3,2019-06-01,2020-12-11,local-authority-eng:NTY,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-11-T3
,spent,14/01941/S106/11,14/01941/S106/11/T4,,2020-12-10,local-authority-eng:NTY,2019-07-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01941-S106-11-T4
