amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
7813.75,received,08/01630/FUL-S2.2,08/01630/FUL-S2.2-TRANS2,,2020-12-02,2014-11-04,,
7813.75,allocated,08/01630/FUL-S2.2,08/01630/FUL-S2.2-TRANS3,,2020-12-02,2014-11-04,,
7813.75,spent,08/01630/FUL-S2.2,08/01630/FUL-S2.2-TRANS4,,2020-12-02,2014-11-04,,
3045.09,secured,08/01630/FUL-S2.3,08/01630/FUL-S2.3-TRANS1,,2020-12-02,2014-10-04,,
3045.09,received,08/01630/FUL-S2.3,08/01630/FUL-S2.3-TRANS2,,2020-12-02,2014-11-04,,
3045.09,allocated,08/01630/FUL-S2.3,08/01630/FUL-S2.3-TRANS3,,2020-12-02,2014-11-04,,
4062.33,secured,08/01630/FUL-S2.4,08/01630/FUL-S2.4-TRANS1,,2020-12-02,2014-10-04,,
4062.33,received,08/01630/FUL-S2.4,08/01630/FUL-S2.4-TRANS2,,2020-12-02,2014-11-04,,
4062.33,allocated,08/01630/FUL-S2.4,08/01630/FUL-S2.4-TRANS3,,2020-12-02,2014-11-04,,
7240.06,secured,08/01630/FUL-S2.5,08/01630/FUL-S2.5-TRANS1,,2020-12-02,2014-10-04,,
7240.06,received,08/01630/FUL-S2.5,08/01630/FUL-S2.5-TRANS2,,2020-12-02,2014-11-04,,
7240.06,allocated,08/01630/FUL-S2.5,08/01630/FUL-S2.5-TRANS3,,2020-12-02,2014-11-04,,
33334,secured,11/01794/FUL-S1.1,11/01794/FUL-S1.1-TRANS1,,2020-12-02,2016-08-03,,
33334,received,11/01794/FUL-S1.1,11/01794/FUL-S1.1-TRANS2,,2020-12-02,2017-10-04,,
33334,allocated,11/01794/FUL-S1.1,11/01794/FUL-S1.1-TRANS3,,2020-12-02,2017-10-04,,
33333,secured,11/01794/FUL-S1.2,11/01794/FUL-S1.2-TRANS1,,2020-12-02,2019-03-29,,
33333,received,11/01794/FUL-S1.2,11/01794/FUL-S1.2-TRANS2,,2020-12-02,2019-02-28,,
33333,allocated,11/01794/FUL-S1.2,11/01794/FUL-S1.2-TRANS3,,2020-12-02,2019-02-28,,
33334,secured,11/01794/FUL-S4.1,11/01794/FUL-S4.1-TRANS1,,2020-12-02,2016-08-03,,
33334,received,11/01794/FUL-S4.1,11/01794/FUL-S4.1-TRANS2,,2020-12-02,2017-10-04,,
33334,allocated,11/01794/FUL-S4.1,11/01794/FUL-S4.1-TRANS3,,2020-12-02,2017-10-04,,
33333,secured,11/01794/FUL-S4.2,11/01794/FUL-S4.2-TRANS1,,2020-12-02,2019-03-29,,
33333,received,11/01794/FUL-S4.3,11/01794/FUL-S4.2-TRANS2,,2020-12-02,2019-02-28,,
33333,allocated,11/01794/FUL-S4.4,11/01794/FUL-S4.2-TRANS3,,2020-12-02,2019-02-28,,
1.5E+5,secured,11/02362/OUT-S2.A,11/02362/OUT-S2.A-TRANS1,,2020-12-02,2019-07-12,,
1.5E+5,received,11/02362/OUT-S2.A,11/02362/OUT-S2.A-TRANS2,,2020-12-02,2019-10-02,,
156333.34,secured,11/02362/OUT-S2.D.1.1,11/02362/OUT-S2.D.1.1-TRANS1,,2020-12-02,2018-08-08,,
156333.34,received,11/02362/OUT-S2.D.1.1,11/02362/OUT-S2.D.1.1-TRANS2,,2020-12-02,2019-03-19,,
156333.34,allocated,11/02362/OUT-S2.D.1.1,11/02362/OUT-S2.D.1.1-TRANS3,,2020-12-02,2019-03-19,,
