resource,amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,9560.06,allocated,04044/18-dc2,04044/18-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,85516.33,allocated,01595/17-dc1,01595/17-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,5E+3,allocated,04748/18-dc1,04748/18-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,14588.16,allocated,93610/15-dc1,93610/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,23045.55,allocated,78010/07-dc1,78010/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,3034.84,allocated,94158/15-dc2,94158/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,3.415E+4,allocated,55705/99-dc1,55705/99-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2.47E+3,allocated,62817/02-dc1,62817/02-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,9.4E+3,allocated,57008/00-dc1,57008/00-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6.187E+4,allocated,70243/05-dc1,70243/05-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1.5E+3,allocated,69393/04-dc1,69393/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4.9E+4,allocated,66201/03-dc1,66201/03-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,41333.97,allocated,70143/05-dc1,70143/05-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,20606.84,allocated,74472/06-dc1,74472/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2.92E+4,allocated,69252/04-dc1,69252/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,9994,allocated,70897/05-dc1,70897/05-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,3E+3,allocated,69193/04-dc1,69193/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,22138.6,allocated,76893/07-dc1,76893/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,46281.25,allocated,77289/97-dc1,77289/97-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2.47E+3,allocated,79100/07-dc1,79100/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,42675,allocated,72898/05-dc1,72898/05-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,24946,allocated,76656/07-dc2,76656/07-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,53045.26,allocated,92078/14-dc1,92078/14-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,21913.6,allocated,91959/14-dc1,91959/14-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2286.9,allocated,91081/13-dc1,91081/13-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6.93E+3,allocated,91081/13-dc2,91081/13-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2.425E+4,allocated,86445/11-dc1,86445/11-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,24638.44,allocated,96670/16-dc1,96670/16-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4303.03,allocated,97377/16-dc2,97377/16-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4480.27,allocated,04044/18-dc1,04044/18-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,25273.36,allocated,03484/18-dc1,03484/18-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,63654.18,allocated,91081/13-dc3,91081/13-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,17936.47,allocated,78010/07-dc2,78010/07-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,18051.37,allocated,88121/12-dc1,88121/12-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,20532.09,allocated,75230/06-dc1,75230/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,19304.01,allocated,87062/11-dc1,87062/11-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,23266.93,allocated,93070/14-dc1,93070/14-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,117382.27,allocated,84637/10-dc3,84637/10-dt3,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,349960.86,allocated,74472/06-dc2,74472/06-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,24823.75,allocated,02335/17-dc1,02335/17-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,40997.92,allocated,94158/15-dc1,94158/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,131676.91,allocated,96218/16-dc1,96218/16-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,812.88,allocated,67274/04-dc1,67274/04-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,314050.58,allocated,72253/05-dc1,72253/05-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,361381.1,allocated,90539/13-dc1,90539/13-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,125102.9,allocated,97377/16-dc3,97377/16-dt3,,2020-03-31,2020-03-31,,
